Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 88.0%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 87.9%id,  0.9%wa,  0.0%hi,  1.0%si,  0.1%st
Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 87.9%id,  0.9%wa,  0.0%hi,  1.0%si,  0.1%st
Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 87.9%id,  0.9%wa,  0.0%hi,  1.0%si,  0.1%st
Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 87.9%id,  0.9%wa,  0.0%hi,  1.0%si,  0.1%st
Cpu0  :  4.2%us,  5.9%sy,  0.0%ni, 87.8%id,  0.9%wa,  0.0%hi,  1.0%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.8%id,  0.9%wa,  0.0%hi,  1.1%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.7%id,  0.9%wa,  0.0%hi,  1.1%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.7%id,  0.9%wa,  0.0%hi,  1.1%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.7%id,  0.9%wa,  0.0%hi,  1.1%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.7%id,  0.9%wa,  0.0%hi,  1.1%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.6%id,  0.9%wa,  0.0%hi,  1.2%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.6%id,  0.9%wa,  0.0%hi,  1.2%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.6%id,  0.9%wa,  0.0%hi,  1.2%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.5%id,  0.9%wa,  0.0%hi,  1.2%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.5%id,  0.9%wa,  0.0%hi,  1.2%si,  0.1%st
Cpu0  :  4.2%us,  6.0%sy,  0.0%ni, 87.5%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
Cpu0  :  4.2%us,  6.1%sy,  0.0%ni, 87.4%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
Cpu0  :  4.2%us,  6.1%sy,  0.0%ni, 87.4%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
Cpu0  :  4.2%us,  6.1%sy,  0.0%ni, 87.4%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
Cpu0  :  4.2%us,  6.1%sy,  0.0%ni, 87.4%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
Cpu0  :  4.2%us,  6.1%sy,  0.0%ni, 87.4%id,  0.9%wa,  0.0%hi,  1.3%si,  0.1%st
