Cpu0  :  3.7%us,  3.8%sy,  0.0%ni, 90.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.8%sy,  0.0%ni, 90.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  3.9%sy,  0.0%ni, 90.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.0%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.1%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.2%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.2%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.7%us,  4.2%sy,  0.0%ni, 90.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
