Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.4%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.3%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
Cpu0  :  0.9%us,  1.4%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.2%si,  0.0%st
