Cpu0  :  3.9%us,  4.6%sy,  0.0%ni, 89.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.6%sy,  0.0%ni, 89.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.7%sy,  0.0%ni, 89.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.7%sy,  0.0%ni, 89.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.7%sy,  0.0%ni, 89.8%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.7%sy,  0.0%ni, 89.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.7%sy,  0.0%ni, 89.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.8%sy,  0.0%ni, 89.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.8%sy,  0.0%ni, 89.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.8%sy,  0.0%ni, 89.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.8%sy,  0.0%ni, 89.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.8%sy,  0.0%ni, 89.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.9%sy,  0.0%ni, 89.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.9%sy,  0.0%ni, 89.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.9%sy,  0.0%ni, 89.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.9%sy,  0.0%ni, 89.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  4.9%sy,  0.0%ni, 89.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.4%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.4%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.4%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  3.9%us,  5.0%sy,  0.0%ni, 89.4%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
