Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.7%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.6%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.5%id,  0.9%wa,  0.0%hi,  0.7%si,  0.1%st
Cpu0  :  4.1%us,  5.6%sy,  0.0%ni, 88.5%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.5%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.4%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.4%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.4%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.4%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.3%id,  0.9%wa,  0.0%hi,  0.8%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.3%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.7%sy,  0.0%ni, 88.3%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.2%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.2%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.2%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.1%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.1%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.1%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.1%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
Cpu0  :  4.1%us,  5.8%sy,  0.0%ni, 88.1%id,  0.9%wa,  0.0%hi,  0.9%si,  0.1%st
